,mean,std,skew,kurtosis,excess_k
hs300,0.0011175456225839138,0.031686229902330935,-0.9465841877779616,2.6943390515834578,-0.30566094841654223
sz50,0.0009531350464923455,0.031965922408014324,-0.6162748927491071,2.7824600692670636,-0.21753993073293643
csi500,0.0005485242312131657,0.040114956891968354,-0.9820962227438508,3.711613912229642,0.7116139122296419
