日期,股票代码,名称,收盘价,最高价,最低价
2020-11-10,'601398,工商银行,5.02,5.05,5.0
2020-11-09,'601398,工商银行,4.98,4.99,4.96
2020-11-06,'601398,工商银行,4.96,4.98,4.93
2020-11-05,'601398,工商银行,4.95,4.99,4.94
2020-11-04,'601398,工商银行,4.95,4.98,4.93
2020-11-03,'601398,工商银行,4.95,4.98,4.94
2020-11-02,'601398,工商银行,4.94,4.95,4.91
2020-10-30,'601398,工商银行,4.92,4.98,4.91
2020-10-29,'601398,工商银行,4.96,4.99,4.95
2020-10-28,'601398,工商银行,5.0,5.03,4.98
2020-10-27,'601398,工商银行,5.03,5.04,5.0
2020-10-26,'601398,工商银行,5.02,5.07,5.01
2020-10-23,'601398,工商银行,5.06,5.08,5.03
2020-10-22,'601398,工商银行,5.06,5.07,5.02
2020-10-21,'601398,工商银行,5.05,5.07,4.95
2020-10-20,'601398,工商银行,4.98,5.01,4.95
2020-10-19,'601398,工商银行,5.02,5.08,4.98
2020-10-16,'601398,工商银行,4.99,5.02,4.92
2020-10-15,'601398,工商银行,4.93,4.95,4.9
2020-10-14,'601398,工商银行,4.92,4.93,4.91
2020-10-13,'601398,工商银行,4.92,4.96,4.91
2020-10-12,'601398,工商银行,4.96,4.97,4.91
2020-10-09,'601398,工商银行,4.91,4.94,4.91
2020-09-30,'601398,工商银行,4.92,4.95,4.91
2020-09-29,'601398,工商银行,4.91,4.95,4.91
2020-09-28,'601398,工商银行,4.94,4.94,4.88
2020-09-25,'601398,工商银行,4.89,4.91,4.88
2020-09-24,'601398,工商银行,4.9,4.92,4.88
2020-09-23,'601398,工商银行,4.92,4.94,4.91
2020-09-22,'601398,工商银行,4.93,4.96,4.92
2020-09-21,'601398,工商银行,4.96,4.99,4.94
2020-09-18,'601398,工商银行,4.98,4.98,4.93
2020-09-17,'601398,工商银行,4.94,4.95,4.92
2020-09-16,'601398,工商银行,4.94,4.94,4.9
2020-09-15,'601398,工商银行,4.92,4.93,4.91
2020-09-14,'601398,工商银行,4.93,4.94,4.91
2020-09-11,'601398,工商银行,4.93,4.95,4.9
2020-09-10,'601398,工商银行,4.91,4.95,4.9
2020-09-09,'601398,工商银行,4.94,4.95,4.92
2020-09-08,'601398,工商银行,4.95,4.96,4.89
2020-09-07,'601398,工商银行,4.9,4.92,4.88
2020-09-04,'601398,工商银行,4.9,4.91,4.88
2020-09-03,'601398,工商银行,4.91,4.94,4.89
2020-09-02,'601398,工商银行,4.92,4.96,4.92
2020-09-01,'601398,工商银行,4.96,4.97,4.94
2020-08-31,'601398,工商银行,4.96,5.01,4.96
2020-08-28,'601398,工商银行,5.0,5.01,4.96
2020-08-27,'601398,工商银行,4.97,4.98,4.96
2020-08-26,'601398,工商银行,4.98,5.0,4.97
2020-08-25,'601398,工商银行,5.0,5.01,4.98
2020-08-24,'601398,工商银行,4.99,5.02,4.99
2020-08-21,'601398,工商银行,5.01,5.02,4.99
2020-08-20,'601398,工商银行,5.0,5.03,4.99
2020-08-19,'601398,工商银行,5.03,5.07,5.03
2020-08-18,'601398,工商银行,5.05,5.09,5.04
2020-08-17,'601398,工商银行,5.09,5.11,5.02
2020-08-14,'601398,工商银行,5.02,5.02,4.97
2020-08-13,'601398,工商银行,4.98,5.0,4.97
2020-08-12,'601398,工商银行,4.99,4.99,4.96
2020-08-11,'601398,工商银行,4.98,5.02,4.97
2020-08-10,'601398,工商银行,4.99,5.0,4.96
2020-08-07,'601398,工商银行,4.98,5.01,4.97
2020-08-06,'601398,工商银行,5.02,5.03,4.98
2020-08-05,'601398,工商银行,5.0,5.03,4.99
2020-08-04,'601398,工商银行,5.05,5.07,4.97
2020-08-03,'601398,工商银行,4.98,5.0,4.96
2020-07-31,'601398,工商银行,4.96,5.01,4.95
2020-07-30,'601398,工商银行,4.98,5.02,4.98
2020-07-29,'601398,工商银行,5.02,5.02,4.93
2020-07-28,'601398,工商银行,4.98,5.0,4.96
2020-07-27,'601398,工商银行,4.97,5.0,4.95
2020-07-24,'601398,工商银行,4.98,5.03,4.96
2020-07-23,'601398,工商银行,5.03,5.08,5.02
2020-07-22,'601398,工商银行,5.09,5.14,5.07
2020-07-21,'601398,工商银行,5.1,5.14,5.09
2020-07-20,'601398,工商银行,5.13,5.14,5.05
2020-07-17,'601398,工商银行,5.06,5.08,5.03
2020-07-16,'601398,工商银行,5.06,5.13,5.05
2020-07-15,'601398,工商银行,5.08,5.18,5.07
2020-07-14,'601398,工商银行,5.14,5.2,5.13
2020-07-13,'601398,工商银行,5.21,5.25,5.16
2020-07-10,'601398,工商银行,5.22,5.37,5.2
2020-07-09,'601398,工商银行,5.38,5.45,5.35
2020-07-08,'601398,工商银行,5.47,5.59,5.38
2020-07-07,'601398,工商银行,5.56,5.85,5.56
2020-07-06,'601398,工商银行,5.6,5.61,5.19
2020-07-03,'601398,工商银行,5.16,5.18,5.06
2020-07-02,'601398,工商银行,5.06,5.07,4.96
2020-07-01,'601398,工商银行,4.99,4.99,4.92
2020-06-30,'601398,XD工商银,4.98,5.03,4.96
2020-06-29,'601398,工商银行,5.25,5.31,5.2
2020-06-24,'601398,工商银行,5.22,5.24,5.14
2020-06-23,'601398,工商银行,5.14,5.16,5.12
2020-06-22,'601398,工商银行,5.16,5.22,5.16
2020-06-19,'601398,工商银行,5.2,5.21,5.15
2020-06-18,'601398,工商银行,5.19,5.22,5.16
2020-06-17,'601398,工商银行,5.26,5.3,5.25
2020-06-16,'601398,工商银行,5.3,5.31,5.26
2020-06-15,'601398,工商银行,5.24,5.31,5.23
2020-06-12,'601398,工商银行,5.22,5.32,5.2
2020-06-11,'601398,工商银行,5.27,5.3,5.24
2020-06-10,'601398,工商银行,5.27,5.28,5.25
2020-06-09,'601398,工商银行,5.26,5.28,5.23
2020-06-08,'601398,工商银行,5.24,5.26,5.2
2020-06-05,'601398,工商银行,5.21,5.22,5.16
2020-06-04,'601398,工商银行,5.18,5.21,5.17
2020-06-03,'601398,工商银行,5.19,5.24,5.18
2020-06-02,'601398,工商银行,5.19,5.19,5.13
2020-06-01,'601398,工商银行,5.16,5.16,5.12
2020-05-29,'601398,工商银行,5.12,5.15,5.1
2020-05-28,'601398,工商银行,5.17,5.18,5.12
2020-05-27,'601398,工商银行,5.12,5.13,5.08
2020-05-26,'601398,工商银行,5.08,5.11,5.08
2020-05-25,'601398,工商银行,5.09,5.1,5.04
2020-05-22,'601398,工商银行,5.05,5.11,5.05
2020-05-21,'601398,工商银行,5.1,5.13,5.1
2020-05-20,'601398,工商银行,5.12,5.12,5.1
2020-05-19,'601398,工商银行,5.12,5.13,5.1
2020-05-18,'601398,工商银行,5.1,5.1,5.07
2020-05-15,'601398,工商银行,5.09,5.12,5.08
2020-05-14,'601398,工商银行,5.1,5.13,5.09
2020-05-13,'601398,工商银行,5.13,5.13,5.11
2020-05-12,'601398,工商银行,5.13,5.15,5.11
2020-05-11,'601398,工商银行,5.14,5.14,5.1
2020-05-08,'601398,工商银行,5.1,5.12,5.09
2020-05-07,'601398,工商银行,5.1,5.11,5.09
2020-05-06,'601398,工商银行,5.11,5.12,5.08
2020-04-30,'601398,工商银行,5.17,5.18,5.14
2020-04-29,'601398,工商银行,5.15,5.15,5.08
2020-04-28,'601398,工商银行,5.11,5.12,5.04
2020-04-27,'601398,工商银行,5.09,5.11,5.05
2020-04-24,'601398,工商银行,5.05,5.07,5.04
2020-04-23,'601398,工商银行,5.07,5.09,5.05
2020-04-22,'601398,工商银行,5.09,5.1,5.05
2020-04-21,'601398,工商银行,5.08,5.12,5.07
2020-04-20,'601398,工商银行,5.12,5.15,5.12
2020-04-17,'601398,工商银行,5.15,5.17,5.11
2020-04-16,'601398,工商银行,5.12,5.13,5.1
2020-04-15,'601398,工商银行,5.13,5.13,5.1
2020-04-14,'601398,工商银行,5.12,5.13,5.1
2020-04-13,'601398,工商银行,5.1,5.13,5.09
2020-04-10,'601398,工商银行,5.11,5.14,5.1
2020-04-09,'601398,工商银行,5.13,5.15,5.12
2020-04-08,'601398,工商银行,5.14,5.15,5.12
2020-04-07,'601398,工商银行,5.16,5.19,5.13
2020-04-03,'601398,工商银行,5.14,5.18,5.12
2020-04-02,'601398,工商银行,5.19,5.19,5.11
2020-04-01,'601398,工商银行,5.16,5.19,5.13
2020-03-31,'601398,工商银行,5.15,5.24,5.12
2020-03-30,'601398,工商银行,5.22,5.24,5.15
2020-03-27,'601398,工商银行,5.21,5.25,5.18
2020-03-26,'601398,工商银行,5.18,5.22,5.11
2020-03-25,'601398,工商银行,5.18,5.18,5.1
2020-03-24,'601398,工商银行,5.12,5.12,5.02
2020-03-23,'601398,工商银行,4.99,5.03,4.98
2020-03-20,'601398,工商银行,5.08,5.11,5.0
2020-03-19,'601398,工商银行,4.99,5.12,4.93
2020-03-18,'601398,工商银行,5.11,5.2,5.11
2020-03-17,'601398,工商银行,5.17,5.23,5.12
2020-03-16,'601398,工商银行,5.17,5.29,5.14
2020-03-13,'601398,工商银行,5.22,5.27,5.13
2020-03-12,'601398,工商银行,5.29,5.32,5.27
2020-03-11,'601398,工商银行,5.32,5.37,5.32
2020-03-10,'601398,工商银行,5.36,5.37,5.29
2020-03-09,'601398,工商银行,5.31,5.35,5.3
2020-03-06,'601398,工商银行,5.41,5.43,5.39
2020-03-05,'601398,工商银行,5.46,5.46,5.38
2020-03-04,'601398,工商银行,5.39,5.39,5.36
2020-03-03,'601398,工商银行,5.38,5.4,5.35
2020-03-02,'601398,工商银行,5.36,5.36,5.29
2020-02-28,'601398,工商银行,5.3,5.38,5.28
2020-02-27,'601398,工商银行,5.4,5.42,5.39
2020-02-26,'601398,工商银行,5.41,5.44,5.36
2020-02-25,'601398,工商银行,5.41,5.42,5.39
2020-02-24,'601398,工商银行,5.44,5.49,5.43
2020-02-21,'601398,工商银行,5.49,5.52,5.47
2020-02-20,'601398,工商银行,5.51,5.52,5.44
2020-02-19,'601398,工商银行,5.48,5.5,5.45
