日期,股票代码,名称,收盘价,最高价,最低价
2020-11-10,'000016,上证50,3416.1408,3440.5572,3402.3826
2020-11-09,'000016,上证50,3418.2753,3428.1303,3382.8002
2020-11-06,'000016,上证50,3359.1193,3380.1978,3339.4703
2020-11-05,'000016,上证50,3369.5029,3386.9785,3345.2005
2020-11-04,'000016,上证50,3332.1901,3340.5315,3301.3165
2020-11-03,'000016,上证50,3307.4846,3324.406,3282.554
2020-11-02,'000016,上证50,3265.8963,3298.0817,3249.9553
2020-10-30,'000016,上证50,3280.3835,3332.8677,3271.2671
2020-10-29,'000016,上证50,3324.4397,3351.1174,3277.5719
2020-10-28,'000016,上证50,3313.2314,3324.8029,3285.0438
2020-10-27,'000016,上证50,3294.0881,3305.6077,3281.6166
2020-10-26,'000016,上证50,3304.7036,3328.6778,3288.5825
2020-10-23,'000016,上证50,3346.608,3395.4051,3346.608
2020-10-22,'000016,上证50,3369.53,3378.6453,3328.3152
2020-10-21,'000016,上证50,3377.4246,3380.0547,3351.7237
2020-10-20,'000016,上证50,3363.503,3365.1843,3340.843
2020-10-19,'000016,上证50,3354.3075,3430.5555,3349.1637
2020-10-16,'000016,上证50,3380.1689,3400.4214,3362.1778
2020-10-15,'000016,上证50,3371.4014,3392.9343,3363.8097
2020-10-14,'000016,上证50,3369.4978,3380.5584,3359.621
2020-10-13,'000016,上证50,3386.893,3391.9889,3363.975
2020-10-12,'000016,上证50,3387.8848,3388.595,3302.619
2020-10-09,'000016,上证50,3286.8572,3296.672,3274.1895
2020-09-30,'000016,上证50,3232.4183,3269.3124,3218.5484
2020-09-29,'000016,上证50,3241.323,3266.9436,3241.323
2020-09-28,'000016,上证50,3250.5018,3268.263,3237.3001
2020-09-25,'000016,上证50,3229.7769,3244.0319,3219.305
2020-09-24,'000016,上证50,3218.716,3264.8258,3214.7027
2020-09-23,'000016,上证50,3275.7387,3284.3973,3256.1785
2020-09-22,'000016,上证50,3270.519,3319.9497,3260.493
2020-09-21,'000016,上证50,3311.5936,3360.9187,3311.1078
2020-09-18,'000016,上证50,3347.7784,3347.7784,3264.3258
2020-09-17,'000016,上证50,3264.6864,3287.2629,3253.5161
2020-09-16,'000016,上证50,3295.5836,3322.3206,3283.8796
2020-09-15,'000016,上证50,3317.6402,3321.1763,3275.0642
2020-09-14,'000016,上证50,3294.1507,3298.9325,3275.3023
2020-09-11,'000016,上证50,3265.4966,3270.5897,3230.3159
2020-09-10,'000016,上证50,3245.5017,3273.9031,3239.5845
2020-09-09,'000016,上证50,3235.7032,3267.8615,3217.1466
2020-09-08,'000016,上证50,3289.9142,3296.1439,3249.246
2020-09-07,'000016,上证50,3253.4259,3328.7237,3243.4279
2020-09-04,'000016,上证50,3309.2096,3314.5469,3283.3118
2020-09-03,'000016,上证50,3334.4119,3374.0142,3322.9009
2020-09-02,'000016,上证50,3347.3042,3373.3499,3316.5014
2020-09-01,'000016,上证50,3355.096,3355.096,3328.1244
2020-08-31,'000016,上证50,3343.8881,3408.5812,3343.2144
2020-08-28,'000016,上证50,3368.4384,3372.7441,3286.1442
2020-08-27,'000016,上证50,3290.7855,3291.6814,3257.5652
2020-08-26,'000016,上证50,3277.8901,3327.817,3269.0876
2020-08-25,'000016,上证50,3310.8389,3335.0343,3300.1984
2020-08-24,'000016,上证50,3298.7205,3320.9715,3291.6571
2020-08-21,'000016,上证50,3284.7267,3299.9392,3261.5468
2020-08-20,'000016,上证50,3264.5329,3288.2062,3252.179
