日期,股票代码,名称,收盘价,最高价,最低价
2020-11-10,'000300,沪深300,4953.8756,4995.4126,4928.9319
2020-11-09,'000300,沪深300,4981.3497,4997.8017,4918.8609
2020-11-06,'000300,沪深300,4885.7178,4897.6295,4845.4293
2020-11-05,'000300,沪深300,4885.1118,4885.1118,4837.9996
2020-11-04,'000300,沪深300,4813.6564,4825.4638,4770.5582
2020-11-03,'000300,沪深300,4777.5608,4793.3963,4734.1748
2020-11-02,'000300,沪深300,4720.8313,4738.0239,4695.4436
2020-10-30,'000300,沪深300,4695.3338,4778.5089,4683.4719
2020-10-29,'000300,沪深300,4772.9198,4803.0317,4679.2529
2020-10-28,'000300,沪深300,4737.2718,4753.3125,4685.6012
2020-10-27,'000300,沪深300,4699.2792,4708.4623,4671.8536
2020-10-26,'000300,沪深300,4691.2359,4713.3945,4639.3019
2020-10-23,'000300,沪深300,4718.4881,4802.456,4717.0984
2020-10-22,'000300,沪深300,4777.9845,4791.8078,4725.4993
2020-10-21,'000300,沪深300,4792.8284,4801.6313,4758.8552
2020-10-20,'000300,沪深300,4793.4672,4793.4672,4739.4583
2020-10-19,'000300,沪深300,4755.4879,4849.605,4747.3356
2020-10-16,'000300,沪深300,4791.676,4825.5518,4765.967
2020-10-15,'000300,沪深300,4798.7361,4833.8925,4796.2647
2020-10-14,'000300,沪深300,4807.1021,4830.4575,4795.9069
2020-10-13,'000300,沪深300,4839.201,4845.9191,4795.373
2020-10-12,'000300,沪深300,4823.1578,4823.2666,4704.1554
2020-10-09,'000300,沪深300,4681.1412,4695.4041,4655.0851
2020-09-30,'000300,沪深300,4587.3953,4634.7239,4563.4108
2020-09-29,'000300,沪深300,4591.7993,4616.6767,4586.3537
2020-09-28,'000300,沪深300,4581.9085,4613.6324,4571.1507
2020-09-25,'000300,沪深300,4570.0216,4599.5387,4554.7199
2020-09-24,'000300,沪深300,4563.0657,4631.9482,4562.2086
2020-09-23,'000300,沪深300,4652.3273,4665.96,4623.5528
2020-09-22,'000300,沪深300,4635.7608,4706.2096,4622.1111
2020-09-21,'000300,沪深300,4691.4281,4752.9799,4688.7199
2020-09-18,'000300,沪深300,4737.0887,4737.8039,4631.7045
2020-09-17,'000300,沪深300,4632.7142,4664.9491,4601.639
2020-09-16,'000300,沪深300,4657.3584,4690.6815,4638.4586
2020-09-15,'000300,沪深300,4688.4826,4691.4997,4630.5374
2020-09-14,'000300,沪深300,4651.0507,4666.9862,4625.9877
2020-09-11,'000300,沪深300,4627.2826,4630.8842,4563.1061
2020-09-10,'000300,沪深300,4581.9775,4647.7505,4572.2058
2020-09-09,'000300,沪深300,4584.5887,4645.1972,4558.0304
2020-09-08,'000300,沪深300,4694.3894,4707.8966,4639.0531
2020-09-07,'000300,沪深300,4669.3677,4789.3031,4655.56
2020-09-04,'000300,沪深300,4770.219,4778.203,4726.5559
2020-09-03,'000300,沪深300,4817.0952,4877.0117,4800.0577
2020-09-02,'000300,沪深300,4843.887,4863.5509,4797.5204
2020-09-01,'000300,沪深300,4842.1223,4842.135,4791.7829
2020-08-31,'000300,沪深300,4816.2153,4901.2115,4816.2123
2020-08-28,'000300,沪深300,4844.2652,4850.4884,4719.3526
2020-08-27,'000300,沪深300,4731.3451,4731.9351,4679.3623
2020-08-26,'000300,沪深300,4706.1302,4786.4249,4689.881
2020-08-25,'000300,沪深300,4761.9507,4802.4122,4746.313
2020-08-24,'000300,沪深300,4755.8491,4769.4673,4716.6054
2020-08-21,'000300,沪深300,4718.8431,4739.4836,4684.8101
2020-08-20,'000300,沪深300,4679.1544,4721.4357,4662.8032
2020-08-19,'000300,沪深300,4740.6784,4809.0499,4738.0086
2020-08-18,'000300,沪深300,4812.7564,4825.3861,4788.8293
2020-08-17,'000300,沪深300,4815.2261,4838.0864,4721.3589
2020-08-14,'000300,沪深300,4704.6288,4708.0709,4617.632
2020-08-13,'000300,沪深300,4635.7126,4671.7689,4626.1033
2020-08-12,'000300,沪深300,4647.6446,4681.6206,4566.2736
2020-08-11,'000300,沪深300,4681.7837,4791.5337,4674.8642
2020-08-10,'000300,沪深300,4724.8697,4757.6634,4646.2885
2020-08-07,'000300,沪深300,4707.9262,4749.0217,4637.8427
2020-08-06,'000300,沪深300,4762.7642,4791.8565,4691.1569
2020-08-05,'000300,沪深300,4777.1089,4786.7031,4711.2723
2020-08-04,'000300,沪深300,4775.8024,4807.0782,4747.7748
2020-08-03,'000300,沪深300,4771.3108,4771.3694,4720.025
