adj_week,close,log_r
300.0,3416.1408,0.016832666353254578
299.0,3359.1193,0.02371849022916995
298.0,3280.3835,-0.019986959268281503
297.0,3346.6079999999997,-0.009978383099304008
296.0,3380.1689,0.027993828792069127
295.0,3286.8572,0.01670129307940937
294.0,3232.4183,0.0008174931475616726
293.0,3229.7769,-0.035883898025632036
292.0,3347.7784,0.024885112495387926
291.0,3265.4966,-0.013297520161093231
290.0,3309.2096,-0.017739884847023633
289.0,3368.4384,0.02516580205143632
288.0,3284.7267,-0.0011523692906927779
287.0,3288.5141,0.007560359171051382
286.0,3263.7455,0.004424332839826239
285.0,3249.3375,0.028421844004139666
284.0,3158.2854,-0.008702681931723692
283.0,3185.8909,-0.050759580671765725
282.0,3351.78,0.05918591664869919
281.0,3159.1583,0.07071535274800181
280.0,2943.4733,0.005975985824657242
279.0,2925.9356,0.014395956276521928
278.0,2884.1157,-0.0042328144336168235
277.0,2896.3495,0.03145445458806894
276.0,2806.6643,0.011054243959319176
275.0,2775.8096,-0.015684887547047676
274.0,2819.6911,-0.01873379089735985
273.0,2873.0125,0.0038727004009464893
272.0,2861.9077,0.030468562185480975
271.0,2776.0245,-0.011835628597162693
270.0,2809.0757,0.021310368546755446
269.0,2749.8466,0.015030314436828738
268.0,2708.8246,0.0027281098843364654
267.0,2701.4447,0.02740528256097107
266.0,2628.4161,-0.06279843488041616
265.0,2798.7695,-0.05764145789996945
264.0,2964.8348,0.04971502940408112
263.0,2821.0419,-0.0508285690736565
262.0,2968.1381,0.024927497844290658
261.0,2895.0644,0.015088366342060528
260.0,2851.7105,-0.027933993016317354
259.0,2932.4932,-0.040328362267114885
258.0,3053.1729,-0.0048057502997129785
257.0,3067.881,-0.0033836767716831917
256.0,3078.2793,0.019849741090041725
255.0,3017.7787,0.0017090068633535244
254.0,3012.6257,0.002097712884045036
253.0,3006.3127,0.02236650046795394
252.0,2939.8184,0.015461011969472983
251.0,2894.7154,-0.009472851938139204
250.0,2922.2669,-0.011037912134510079
249.0,2954.7013,-0.01935925870901378
248.0,3012.4594,0.0032619891024401764
247.0,3002.6488,0.011926066279794985
246.0,2967.0517,0.0013073363134684887
245.0,2963.1753,-0.006708235786188712
244.0,2983.1198,0.029051414993753164
243.0,2897.7027,-0.010901869079054095
242.0,2929.4659,-0.011528915012720974
241.0,2963.4349,-0.012117143258425783
240.0,2999.5617,0.006182942261604258
