open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
3349.26,3374.01,3334.41,3322.9,312523.62,-12.89,-0.39,3349.828,3321.211,3305.645,368289.95,331369.46,408562.37
3371.57,3373.35,3347.3,3316.5,355123.09,-7.8,-0.23,3341.104,3314.223,3303.535,362056.83,337170.0,417409.07
3333.21,3355.1,3355.1,3328.12,304664.5,11.21,0.34,3327.222,3310.259,3300.785,356877.09,346077.14,422442.55
3386.62,3408.58,3343.89,3343.21,479051.56,-24.55,-0.73,3318.37,3311.482,3298.637,352844.1,363054.84,438479.57
3296.52,3372.74,3368.44,3286.14,390087.0,77.65,2.36,3309.336,3313.978,3295.497,316366.09,391048.72,438676.5
3286.78,3291.68,3290.79,3257.57,281358.0,12.9,0.39,3292.594,3305.985,3289.542,294448.97,388787.5,440621.1
3308.93,3327.82,3277.89,3269.09,329224.38,-32.95,-0.99,3287.342,3301.09,3286.579,312283.17,397743.77,444607.68
3312.03,3335.03,3310.84,3300.2,284499.56,12.12,0.37,3293.296,3298.275,3284.853,335277.19,415846.28,449970.8
3306.56,3320.97,3298.72,3291.66,296661.5,13.99,0.43,3304.594,3293.473,3278.606,373265.59,441219.12,453601.05
3287.43,3299.94,3284.73,3261.55,280501.41,20.2,0.62,3318.62,3292.177,3271.831,465731.35,464824.37,457581.7
3285.2,3288.21,3264.53,3252.18,370529.0,-43.13,-1.3,3319.376,3290.079,3265.509,483126.02,485755.28,473875.7
3361.72,3366.68,3307.66,3306.33,444194.47,-59.67,-1.77,3314.838,3292.846,3266.488,483204.37,497648.13,483182.04
3369.87,3377.52,3367.33,3350.78,474441.56,-1.52,-0.04,3303.254,3291.311,3265.673,496415.37,498807.97,488174.19
3300.9,3397.5,3368.85,3299.21,758990.31,80.34,2.44,3282.352,3285.791,3261.647,509172.66,513904.29,486708.11
3236.95,3292.03,3288.51,3230.21,367474.78,46.67,1.44,3265.734,3277.016,3257.601,463917.39,486304.28,480282.36
3261.13,3265.51,3241.84,3230.17,370920.72,-7.9,-0.24,3260.782,3273.099,3252.47,488384.54,492454.71,486633.17
3255.54,3266.58,3249.74,3199.55,510249.47,-13.08,-0.4,3270.854,3272.067,3248.479,512091.9,491471.58,505428.67
3291.34,3333.75,3262.82,3257.37,538228.0,-22.94,-0.7,3279.368,3271.431,3251.68,501200.57,484095.33,515122.21
3250.54,3309.98,3285.76,3232.09,532714.0,22.01,0.67,3289.23,3263.738,3255.941,518635.92,465982.98,526604.01
3277.44,3288.79,3263.75,3219.42,489810.5,-28.45,-0.86,3288.298,3251.485,3261.159,508691.17,450339.03,539980.4
3295.43,3311.36,3292.2,3243.65,489457.53,-0.11,-0.0,3285.416,3240.939,3265.56,496524.89,461996.12,555013.14
3298.14,3300.9,3292.31,3257.29,455792.84,-19.82,-0.6,3273.28,3240.13,3273.051,470851.27,468715.95,573007.48
3293.92,3329.56,3312.13,3279.14,625404.75,31.03,0.95,3263.494,3240.035,3279.933,466990.08,477540.42,595946.44
3271.18,3284.79,3281.1,3251.82,482990.25,31.76,0.98,3238.246,3237.503,3283.414,413330.03,459511.92,618988.27
3226.42,3284.38,3249.34,3199.91,428979.06,17.82,0.55,3214.672,3238.185,3288.066,391986.89,474260.44,655922.7
3252.2,3263.19,3231.52,3231.36,361089.44,-11.86,-0.37,3196.462,3231.84,3283.557,427467.36,480811.63,673578.46
